customer_id,total_tickets,sla_breaches,avg_csat,segment,clv,region,churn_risk,risk_tier
12347,3,3,1.6666666666666667,Retail,341.52,UK,True,High Risk
12348,4,4,2.5,Wholesale,1534.1,France,False,Low Risk
12350,3,3,1.0,Retail,864.98,France,True,High Risk
12351,4,4,1.5,Retail,318.65,UK,True,High Risk
12352,4,4,1.6666666666666667,Retail,1121.7,UK,True,High Risk
12353,2,2,2.0,Wholesale,4767.95,UK,True,Critical Risk
12354,3,2,3.3333333333333335,Corporate,6231.54,UK,False,Low Risk
12355,1,1,2.0,Retail,1032.69,UK,False,Low Risk
12357,3,3,4.0,Retail,841.54,France,False,Low Risk
12359,5,4,2.75,Retail,600.26,Netherlands,False,Low Risk
12360,2,2,,Corporate,10370.8,UK,False,Low Risk
12361,1,1,2.0,Retail,641.95,Germany,False,Low Risk
12362,4,4,3.0,Wholesale,3226.05,Germany,False,Low Risk
12364,5,4,3.6666666666666665,Corporate,4658.56,Netherlands,False,Low Risk
12365,3,3,2.0,Retail,180.06,EIRE,True,High Risk
12366,2,2,3.0,Wholesale,4941.94,UK,False,Low Risk
12367,2,2,2.0,Retail,590.1,Germany,True,High Risk
12368,1,1,,Retail,1194.99,Netherlands,False,Low Risk
12369,4,4,2.3333333333333335,Corporate,8067.01,Germany,True,Critical Risk
12370,5,4,2.25,Retail,1194.73,EIRE,True,High Risk
12371,2,2,3.0,Retail,1151.67,Netherlands,False,Low Risk
12372,3,1,2.5,Retail,87.75,UK,False,Low Risk
12373,1,1,3.0,Retail,204.6,EIRE,False,Low Risk
12374,3,3,2.6666666666666665,Retail,874.76,France,False,Low Risk
12375,1,1,3.0,Corporate,14502.91,UK,False,Low Risk
12376,3,3,2.5,Retail,819.79,UK,False,Low Risk
12377,2,2,1.0,Retail,83.69,France,True,High Risk
12378,3,3,2.0,Retail,110.88,UK,True,High Risk
12379,2,1,3.0,Retail,409.77,UK,False,Low Risk
12381,1,1,2.0,Retail,991.97,UK,False,Low Risk
12382,2,2,1.5,Retail,767.03,UK,True,High Risk
12383,3,2,2.5,Retail,486.38,EIRE,False,Low Risk
12384,3,2,3.0,Wholesale,926.08,Unknown,False,Low Risk
12386,1,1,,Retail,158.98,UK,False,Low Risk
12387,2,2,3.0,Corporate,14167.92,UK,False,Low Risk
12388,1,1,4.0,Corporate,14161.8,France,False,Low Risk
12389,3,3,2.0,Wholesale,3224.88,Netherlands,True,Critical Risk
12390,4,3,2.5,Retail,428.83,UK,False,Low Risk
12391,3,2,3.0,Retail,748.42,UK,False,Low Risk
12392,2,1,2.5,Retail,704.13,Other Europe,False,Low Risk
12393,1,1,,Corporate,8502.57,UK,False,Low Risk
12394,1,1,3.0,Retail,410.24,UK,False,Low Risk
12395,1,1,2.0,Corporate,4569.97,UK,False,Low Risk
12396,7,6,2.5,Retail,256.04,UK,False,Low Risk
12397,3,2,3.5,Corporate,8195.38,UK,False,Low Risk
12398,6,4,2.8333333333333335,Retail,371.93,France,False,Low Risk
12400,2,1,3.0,Wholesale,4986.07,Netherlands,False,Low Risk
12401,4,4,2.5,Corporate,11676.79,France,False,Low Risk
12402,3,3,1.6666666666666667,Corporate,2714.56,UK,True,Critical Risk
12403,1,1,2.0,Corporate,8392.59,France,False,Low Risk
12404,2,2,2.5,Wholesale,3524.47,UK,False,Low Risk
12405,2,2,3.0,Retail,1043.53,UK,False,Low Risk
12406,4,3,1.3333333333333333,Corporate,8067.01,Germany,True,Critical Risk
12407,2,1,4.0,Retail,560.73,UK,False,Low Risk
12408,1,1,,Corporate,9615.12,UK,False,Low Risk
12409,2,2,2.0,Wholesale,1689.55,UK,True,High Risk
12410,3,3,2.0,Corporate,9536.58,France,True,Critical Risk
12411,4,4,2.0,Corporate,13462.32,EIRE,True,Critical Risk
12412,3,3,2.0,Retail,1063.49,EIRE,True,High Risk
12413,2,2,,Retail,232.03,Netherlands,False,Low Risk
12414,2,2,2.0,Corporate,3761.72,UK,True,Critical Risk
12415,2,1,,Corporate,13822.77,Unknown,False,Low Risk
12416,3,3,3.0,Retail,406.77,France,False,Low Risk
12417,1,1,2.0,Wholesale,2892.15,UK,False,Low Risk
12418,3,3,2.6666666666666665,Wholesale,2884.16,UK,False,Low Risk
12419,1,1,2.0,Corporate,5081.92,UK,False,Low Risk
12420,4,4,2.3333333333333335,Retail,281.9,Other Europe,True,High Risk
12421,3,1,4.5,Wholesale,963.01,UK,False,Low Risk
12422,2,2,1.0,Wholesale,4031.66,UK,True,Critical Risk
12423,6,6,2.5,Retail,745.83,France,False,Low Risk
12424,2,2,1.0,Wholesale,4730.94,UK,True,Critical Risk
12425,2,2,1.5,Wholesale,2329.31,Germany,True,Critical Risk
12426,2,2,2.5,Wholesale,3807.14,Germany,False,Low Risk
12429,4,3,3.0,Retail,980.19,UK,False,Low Risk
12430,3,3,1.6666666666666667,Wholesale,3138.75,UK,True,Critical Risk
12431,4,4,1.5,Retail,1150.71,UK,True,High Risk
12433,2,2,1.0,Retail,354.54,UK,True,High Risk
12434,2,2,2.5,Retail,892.63,UK,False,Low Risk
12435,4,4,2.5,Retail,1051.29,UK,False,Low Risk
12436,3,2,3.3333333333333335,Retail,1128.43,Germany,False,Low Risk
12437,2,2,3.0,Retail,89.87,Netherlands,False,Low Risk
12438,5,5,2.2,Corporate,8067.01,France,True,Critical Risk
12439,2,2,,Wholesale,2884.16,Germany,False,Low Risk
12440,4,4,2.0,Corporate,6580.25,Germany,True,Critical Risk
12442,3,3,2.6666666666666665,Wholesale,877.09,UK,False,Low Risk
12443,1,1,2.0,Retail,614.12,UK,False,Low Risk
12444,2,2,2.0,Retail,982.0,EIRE,True,High Risk
12445,5,5,1.75,Retail,567.53,UK,True,High Risk
12446,2,2,,Retail,278.65,UK,False,Low Risk
12448,2,2,2.5,Retail,450.75,UK,False,Low Risk
12449,3,2,3.6666666666666665,Retail,189.1,UK,False,Low Risk
12450,1,1,1.0,Corporate,14510.75,UK,False,Low Risk
12452,3,2,2.0,Wholesale,900.7,UK,True,High Risk
12453,3,3,2.0,Corporate,14710.27,UK,True,Critical Risk
12454,2,2,2.0,Retail,931.3,Germany,True,High Risk
12456,3,3,2.0,Corporate,10808.95,Germany,True,Critical Risk
12457,2,0,4.0,Retail,614.12,UK,False,Low Risk
12458,2,2,3.0,Wholesale,3138.18,Germany,False,Low Risk
12459,1,1,2.0,Retail,950.63,UK,False,Low Risk
12461,4,4,2.0,Retail,502.78,UK,True,High Risk
12462,3,3,2.0,Retail,762.36,UK,True,High Risk
12463,4,4,2.0,Retail,970.42,UK,True,High Risk
12464,2,2,3.0,Retail,531.22,Netherlands,False,Low Risk
12466,5,4,2.25,Corporate,3706.74,UK,True,Critical Risk
12467,1,1,,Wholesale,4327.99,UK,False,Low Risk
12468,3,3,3.0,Corporate,10670.06,UK,False,Low Risk
12469,3,3,3.3333333333333335,Retail,380.35,France,False,Low Risk
12472,2,2,2.5,Corporate,12798.1,Unknown,False,Low Risk
12473,3,3,2.0,Corporate,8250.22,UK,True,Critical Risk
12474,1,1,1.0,Retail,963.12,Unknown,False,Low Risk
12475,2,2,2.0,Retail,351.34,UK,True,High Risk
12476,1,1,,Retail,614.12,UK,False,Low Risk
12477,2,2,3.0,Corporate,12033.87,UK,False,Low Risk
12478,1,1,3.0,Retail,950.37,EIRE,False,Low Risk
12480,2,2,3.0,Retail,591.44,France,False,Low Risk
12482,5,4,2.6,Wholesale,2884.16,UK,False,Low Risk
12483,1,1,3.0,Retail,737.48,UK,False,Low Risk
12484,3,3,2.6666666666666665,Wholesale,4968.84,UK,False,Low Risk
12485,2,2,2.0,Corporate,8649.83,UK,True,Critical Risk
12486,1,1,3.0,Retail,620.77,Other Europe,False,Low Risk
12487,1,1,2.0,Corporate,6549.19,France,False,Low Risk
12488,2,2,2.0,Retail,778.57,Germany,True,High Risk
12489,2,2,3.0,Wholesale,2269.56,France,False,Low Risk
12490,2,2,2.0,Retail,614.12,UK,True,High Risk
12491,2,2,3.0,Corporate,8067.01,UK,False,Low Risk
12492,2,1,5.0,Retail,569.38,Germany,False,Low Risk
12493,3,2,3.5,Retail,211.75,UK,False,Low Risk
12494,1,0,4.0,Retail,685.61,Unknown,False,Low Risk
12495,1,1,3.0,Retail,1183.44,Germany,False,Low Risk
12496,3,3,2.0,Corporate,8308.78,UK,True,Critical Risk
12497,2,2,3.0,Retail,199.91,UK,False,Low Risk
12498,1,0,4.0,Corporate,7293.26,Germany,False,Low Risk
12499,1,1,3.0,Retail,819.53,UK,False,Low Risk
12500,3,2,2.6666666666666665,Corporate,7626.92,UK,False,Low Risk
12501,3,3,3.0,Retail,162.26,UK,False,Low Risk
12502,2,2,3.0,Retail,281.31,Germany,False,Low Risk
12503,4,4,2.0,Corporate,11226.58,Germany,True,Critical Risk
12504,6,6,2.2,Retail,772.44,Germany,True,High Risk
12505,3,2,2.3333333333333335,Retail,1081.89,Germany,True,High Risk
12506,3,3,1.6666666666666667,Retail,206.32,EIRE,True,High Risk
