customer_id,segment,clv,acquisition_channel,region,acquisition_date,clv_imputed
17976,Retail,614.12,Referral,Netherlands,2009-04-21,True
16608,Wholesale,1016.96,Online,Other Europe,2009-11-16,False
14596,Corporate,14379.43,Online,France,2009-09-02,False
12499,Retail,819.53,Trade Show,UK,2009-06-22,False
16624,Retail,116.46,Direct Sales,UK,2009-05-28,False
15675,Retail,614.12,Referral,Germany,2009-08-05,True
14477,Retail,1139.95,Partner,Germany,2009-09-01,False
17361,Retail,602.64,Online,UK,2009-07-18,False
13631,Retail,50.47,Direct Sales,UK,2009-11-07,False
12867,Corporate,8999.13,Direct Sales,France,2009-03-18,False
15666,Corporate,14124.43,Trade Show,UK,2009-04-07,False
14727,Corporate,10604.18,Referral,UK,2009-05-09,False
12991,Wholesale,4604.57,Online,UK,2009-12-23,False
12825,Retail,212.59,Referral,UK,2009-07-08,False
15145,Retail,519.22,Online,UK,2009-05-06,False
12385,Wholesale,1602.42,Direct Sales,UK,2009-03-26,False
12754,Retail,598.27,Partner,Germany,2009-05-04,False
12543,Retail,544.86,Trade Show,Germany,2009-06-27,False
12369,Corporate,8067.01,Referral,Germany,2009-02-01,True
13601,Retail,907.21,Online,UK,2009-06-17,False
14891,Retail,252.07,Online,Germany,2009-04-24,False
13751,Corporate,3165.21,Online,UK,2009-10-08,False
13721,Wholesale,809.86,Referral,Other Europe,2009-12-09,False
15163,Retail,928.16,Online,Germany,2009-08-12,False
16481,Retail,337.21,Online,EIRE,2009-10-19,False
13009,Retail,757.33,Online,Germany,2009-08-01,False
17439,Wholesale,3020.57,Online,Germany,2009-06-21,False
16609,Retail,1024.46,Referral,UK,2009-06-20,False
14960,Retail,417.6,Online,EIRE,2009-01-12,False
17573,Retail,894.01,Trade Show,France,2009-12-05,False
17116,Retail,1097.79,Online,France,2009-01-05,False
12832,Wholesale,4559.28,Referral,UK,2009-07-30,False
16792,Corporate,6961.01,Trade Show,Germany,2009-01-10,False
13296,Retail,116.97,Referral,Unknown,2009-08-27,False
14435,Retail,453.24,Referral,France,2009-01-31,False
14290,Retail,769.5,Online,Other Europe,2009-06-16,False
16585,Retail,766.69,Partner,Netherlands,2009-11-26,False
13562,Retail,872.39,Partner,France,2009-01-26,False
16495,Retail,789.26,Online,Other Europe,2009-09-04,False
13233,Retail,298.44,Online,Other Europe,2009-01-14,False
17172,Retail,609.1,Referral,Germany,2009-05-26,False
17377,Retail,675.83,Referral,UK,2009-06-09,False
15355,Retail,856.31,Referral,UK,2009-09-09,False
16925,Retail,1199.09,Trade Show,Netherlands,2009-01-14,False
17061,Retail,614.12,Referral,Germany,2009-09-27,True
16063,Retail,831.48,Online,Netherlands,2009-08-31,False
13033,Retail,1194.81,Online,UK,2009-09-19,False
13753,Corporate,12716.56,Trade Show,UK,2009-04-02,False
12539,Retail,928.04,Direct Sales,UK,2009-03-05,False
13485,Wholesale,4912.44,Referral,Netherlands,2009-11-27,False
14296,Retail,97.24,Direct Sales,UK,2009-10-28,False
12792,Corporate,8164.05,Trade Show,UK,2009-08-28,False
17913,Corporate,13568.87,Referral,UK,2009-09-02,False
13620,Retail,189.33,Partner,UK,2009-09-25,False
13376,Corporate,9264.93,Online,UK,2009-05-03,False
16388,Wholesale,1369.78,Online,Germany,2009-11-07,False
14449,Retail,563.69,Online,UK,2009-08-13,False
16554,Corporate,7110.58,Referral,UK,2009-09-16,False
15340,Retail,713.48,Online,Germany,2009-12-30,False
17571,Wholesale,2247.31,Referral,UK,2009-04-23,False
15786,Retail,544.31,Referral,Unknown,2009-09-19,False
15945,Retail,303.51,Trade Show,EIRE,2009-02-03,False
14112,Corporate,8067.01,Online,Other Europe,2009-07-17,True
17619,Retail,614.12,Referral,Germany,2009-12-27,True
16205,Retail,307.14,Online,Unknown,2009-10-27,False
12934,Wholesale,1141.16,Referral,Germany,2009-06-25,False
17898,Corporate,12177.03,Online,UK,2009-06-11,False
16575,Retail,396.11,Online,UK,2009-08-11,False
17104,Retail,826.4,Trade Show,UK,2009-10-17,False
12536,Wholesale,2851.01,Online,UK,2009-03-21,False
15311,Retail,604.45,Direct Sales,Germany,2009-10-16,False
15707,Retail,967.63,Trade Show,France,2009-01-25,False
18054,Retail,212.0,Direct Sales,France,2009-07-31,False
14289,Corporate,4218.81,Referral,UK,2009-12-19,False
12611,Retail,884.4,Referral,UK,2009-07-08,False
17276,Corporate,6979.9,Trade Show,UK,2009-12-17,False
12569,Corporate,11624.07,Online,UK,2009-05-13,False
17758,Retail,305.05,Partner,EIRE,2009-03-30,False
17100,Retail,950.05,Online,UK,2009-12-18,False
16228,Retail,794.31,Direct Sales,UK,2009-01-21,False
12983,Retail,191.82,Partner,UK,2009-08-14,False
17505,Corporate,10126.19,Trade Show,UK,2009-11-29,False
12939,Retail,1155.78,Trade Show,France,2009-05-13,False
12549,Corporate,13451.64,Online,UK,2009-05-31,False
16881,Retail,614.12,Online,Unknown,2009-08-20,True
16257,Corporate,9465.82,Online,UK,2009-11-22,False
16339,Retail,614.12,Direct Sales,Germany,2009-09-13,True
14572,Corporate,2220.6,Direct Sales,France,2009-03-03,False
16364,Retail,1134.0,Online,France,2009-09-02,False
17706,Retail,1036.63,Trade Show,France,2009-08-16,False
17121,Retail,694.8,Online,Germany,2009-08-07,False
