ticket_id,customer_id,location_id,ticket_date,issue_category,priority,resolution_days,sla_breached,csat_score,status,is_abandoned,csat_responded
TKT-00001,13641,LOC_02,2011-07-12,Delivery,Low,6.2,1,2.0,Resolved,False,True
TKT-00002,15780,LOC_03,2011-07-04,Refund,Low,8.2,1,3.0,Open,False,True
TKT-00003,15481,LOC_01,2011-05-16,Refund,Medium,3.7,1,4.0,Escalated,False,True
TKT-00004,17274,LOC_01,2011-02-14,General Enquiry,Medium,,1,,Resolved,True,False
TKT-00005,14196,LOC_08,2010-06-07,Refund,Critical,4.9,1,3.0,Resolved,False,True
TKT-00006,13164,LOC_03,2010-05-22,Refund,Low,12.1,1,1.0,Resolved,False,True
TKT-00007,17796,LOC_03,2010-07-23,Refund,High,7.0,1,1.0,Escalated,False,True
TKT-00008,15252,LOC_02,2011-08-19,Delivery,High,2.4,1,2.0,Open,False,True
TKT-00009,13808,LOC_04,2011-01-10,General Enquiry,Medium,2.3,1,3.0,Resolved,False,True
TKT-00010,17023,LOC_05,2010-03-06,Billing,High,5.9,1,3.0,Escalated,False,True
TKT-00011,17806,LOC_03,2010-03-06,Billing,High,10.1,1,,Resolved,False,False
TKT-00012,12680,LOC_03,2011-09-09,Product Defect,High,9.1,1,1.0,Resolved,False,True
TKT-00013,13320,LOC_06,2011-01-23,Billing,Low,5.2,1,3.0,Resolved,False,True
TKT-00014,14588,LOC_08,2010-12-26,Refund,Low,3.6,1,3.0,Open,False,True
TKT-00015,16983,LOC_07,2011-07-10,Billing,Medium,13.6,1,,Resolved,False,False
TKT-00016,18058,LOC_01,2011-05-07,Product Defect,Low,4.4,1,,Escalated,False,False
TKT-00017,16605,LOC_06,2010-05-07,Delivery,Medium,3.3,1,2.0,Resolved,False,True
TKT-00018,15104,LOC_01,2011-06-09,Delivery,Medium,4.4,1,2.0,Resolved,False,True
TKT-00019,16217,LOC_05,2011-06-26,Product Defect,Medium,4.3,1,,Resolved,False,False
TKT-00020,13650,LOC_04,2010-04-17,General Enquiry,Medium,,1,,Open,True,False
TKT-00021,12739,LOC_04,2010-11-25,Refund,Medium,5.2,1,,Resolved,False,False
TKT-00022,16911,LOC_05,2010-11-06,Billing,Low,4.1,1,4.0,Resolved,False,True
TKT-00023,13440,LOC_07,2010-01-14,Product Defect,Medium,7.4,1,2.0,Resolved,False,True
TKT-00024,15538,LOC_06,2010-09-21,General Enquiry,Medium,,1,,Resolved,True,False
TKT-00025,17411,LOC_01,2011-12-27,Product Defect,Low,5.2,1,2.0,Resolved,False,True
TKT-00026,17556,LOC_07,2010-02-24,Product Defect,Low,10.5,1,,Resolved,False,False
TKT-00027,17826,LOC_07,2011-06-10,General Enquiry,Low,5.1,1,3.0,Resolved,False,True
TKT-00028,14055,LOC_01,2010-05-12,Billing,Medium,,1,,Open,True,False
TKT-00029,18230,LOC_03,2010-02-10,Account Access,Medium,5.9,1,2.0,Resolved,False,True
TKT-00030,13037,LOC_07,2010-07-21,Delivery,Low,3.8,1,3.0,Resolved,False,True
TKT-00031,15438,LOC_04,2011-01-15,General Enquiry,Medium,2.2,1,3.0,Resolved,False,True
TKT-00032,15212,LOC_06,2011-01-22,Billing,Medium,4.4,1,2.0,Resolved,False,True
TKT-00033,16512,LOC_04,2010-04-19,General Enquiry,Medium,,1,,Resolved,True,False
TKT-00034,16544,LOC_08,2011-07-17,Account Access,High,3.0,1,,Resolved,False,False
TKT-00035,13246,LOC_08,2010-08-03,Delivery,Medium,3.2,1,4.0,Resolved,False,True
TKT-00036,13303,LOC_03,2010-09-14,Account Access,Medium,4.7,1,2.0,Escalated,False,True
TKT-00037,16941,LOC_03,2010-02-18,General Enquiry,Medium,1.2,0,,Resolved,False,False
TKT-00038,17507,LOC_03,2011-10-02,Billing,Critical,6.1,1,2.0,Resolved,False,True
TKT-00039,12687,LOC_01,2011-01-16,General Enquiry,Medium,1.5,0,3.0,Resolved,False,True
TKT-00040,16852,LOC_03,2011-11-14,Delivery,Low,11.6,1,,Resolved,False,False
TKT-00041,12373,LOC_07,2011-05-05,Billing,Critical,7.5,1,3.0,Resolved,False,True
TKT-00042,13904,LOC_07,2011-03-14,Billing,Medium,11.3,1,2.0,Open,False,True
TKT-00043,17482,LOC_07,2011-09-01,General Enquiry,Medium,3.2,1,4.0,Resolved,False,True
TKT-00044,18173,LOC_01,2010-09-17,General Enquiry,Medium,1.9,0,4.0,Resolved,False,True
TKT-00045,13593,LOC_07,2011-12-18,General Enquiry,Low,4.0,1,,Resolved,False,False
TKT-00046,12748,LOC_04,2010-10-08,Product Defect,High,,1,,Resolved,True,False
TKT-00047,13845,LOC_02,2011-03-18,General Enquiry,Medium,2.4,1,3.0,Resolved,False,True
TKT-00048,17231,LOC_04,2011-09-08,Product Defect,Critical,7.5,1,3.0,Resolved,False,True
TKT-00049,14249,LOC_07,2011-12-13,Billing,Low,6.2,1,2.0,Resolved,False,True
TKT-00050,14767,LOC_03,2010-09-11,Delivery,Medium,5.8,1,,Resolved,False,False
TKT-00051,16247,LOC_08,2010-02-03,General Enquiry,Medium,1.2,0,4.0,Resolved,False,True
TKT-00052,16386,LOC_05,2011-12-12,Refund,High,6.1,1,3.0,Resolved,False,True
TKT-00053,14582,LOC_04,2011-03-04,Delivery,Low,4.3,1,4.0,Resolved,False,True
TKT-00054,18071,LOC_03,2011-11-08,Refund,High,10.4,1,3.0,Resolved,False,True
TKT-00055,17245,LOC_01,2011-07-14,Product Defect,Medium,3.4,1,2.0,Resolved,False,True
TKT-00056,14303,LOC_05,2011-09-19,Billing,Medium,4.6,1,4.0,Resolved,False,True
TKT-00057,13792,LOC_05,2010-05-06,Delivery,High,2.7,1,2.0,Resolved,False,True
TKT-00058,15930,LOC_04,2011-09-12,Billing,Medium,9.8,1,3.0,Resolved,False,True
TKT-00059,14977,LOC_04,2011-04-26,Delivery,High,2.1,1,3.0,Escalated,False,True
TKT-00060,17604,LOC_07,2010-08-08,Account Access,Medium,3.6,1,4.0,Resolved,False,True
TKT-00061,14158,LOC_03,2010-01-24,Billing,Low,6.6,1,2.0,Resolved,False,True
TKT-00062,16376,LOC_05,2011-11-05,Product Defect,Low,5.1,1,,Resolved,False,False
TKT-00063,17314,LOC_06,2010-09-19,Account Access,Medium,2.3,1,3.0,Resolved,False,True
TKT-00064,14108,LOC_02,2011-12-14,Refund,Medium,7.7,1,,Resolved,False,False
TKT-00065,18021,LOC_08,2010-03-24,Billing,Low,9.2,1,,Resolved,False,False
TKT-00066,17172,LOC_07,2011-07-01,Delivery,High,7.3,1,3.0,Resolved,False,True
TKT-00067,13827,LOC_01,2010-12-15,Product Defect,Low,7.9,1,1.0,Resolved,False,True
TKT-00068,17582,LOC_07,2010-09-24,Delivery,Medium,5.3,1,2.0,Open,False,True
TKT-00069,17642,LOC_08,2010-10-09,Refund,Low,6.8,1,2.0,Resolved,False,True
TKT-00070,15218,LOC_07,2011-05-16,Product Defect,Low,5.8,1,2.0,Resolved,False,True
TKT-00071,15996,LOC_03,2010-05-26,Billing,Medium,15.1,1,1.0,Resolved,False,True
TKT-00072,14539,LOC_08,2011-12-18,Account Access,Critical,1.1,0,4.0,Open,False,True
TKT-00073,12593,LOC_01,2010-09-27,Billing,Low,4.3,1,2.0,Resolved,False,True
TKT-00074,16978,LOC_04,2011-04-09,Product Defect,Low,4.2,1,2.0,Escalated,False,True
TKT-00075,15865,LOC_02,2010-03-06,Account Access,High,3.5,1,3.0,Resolved,False,True
TKT-00076,15005,LOC_03,2010-09-05,Refund,Medium,15.1,1,1.0,Resolved,False,True
TKT-00077,17461,LOC_08,2010-04-26,Product Defect,Medium,7.0,1,1.0,Resolved,False,True
TKT-00078,13750,LOC_07,2010-04-05,Account Access,High,3.9,1,2.0,Resolved,False,True
TKT-00079,13948,LOC_07,2010-06-06,Account Access,High,3.3,1,3.0,Resolved,False,True
TKT-00080,12591,LOC_03,2011-08-17,Delivery,High,5.6,1,3.0,Escalated,False,True
TKT-00081,16041,LOC_08,2010-11-07,General Enquiry,Medium,0.7,0,5.0,Resolved,False,True
TKT-00082,16088,LOC_03,2010-05-10,Billing,Medium,14.3,1,,Resolved,False,False
TKT-00083,15055,LOC_01,2011-02-13,Delivery,Critical,3.0,1,2.0,Resolved,False,True
TKT-00084,15914,LOC_05,2010-07-17,Refund,High,8.8,1,2.0,Resolved,False,True
TKT-00085,14179,LOC_03,2011-09-24,General Enquiry,Medium,,1,,Resolved,True,False
TKT-00086,14604,LOC_02,2010-10-05,Delivery,Low,2.5,1,4.0,Resolved,False,True
TKT-00087,14233,LOC_08,2010-09-09,Refund,Critical,8.8,1,2.0,Escalated,False,True
TKT-00088,15767,LOC_05,2011-03-06,Billing,Low,7.5,1,1.0,Resolved,False,True
TKT-00089,16118,LOC_08,2011-10-27,Delivery,Medium,4.4,1,3.0,Resolved,False,True
TKT-00090,16720,LOC_05,2010-06-23,Delivery,Low,6.7,1,3.0,Resolved,False,True
TKT-00091,15662,LOC_01,2010-12-08,Account Access,Low,1.7,0,5.0,Resolved,False,True
TKT-00092,16166,LOC_01,2011-08-21,Billing,High,4.4,1,3.0,Resolved,False,True
TKT-00093,13174,LOC_08,2010-03-23,Billing,Low,6.4,1,,Resolved,False,False
TKT-00094,15362,LOC_01,2011-06-07,Product Defect,Low,5.6,1,3.0,Resolved,False,True
TKT-00095,15077,LOC_05,2011-12-18,Product Defect,Low,7.5,1,3.0,Escalated,False,True
TKT-00096,12866,LOC_03,2010-12-10,Billing,Medium,13.6,1,3.0,Escalated,False,True
TKT-00097,17354,LOC_06,2010-05-01,Delivery,Medium,5.0,1,,Resolved,False,False
TKT-00098,17409,LOC_03,2011-11-15,General Enquiry,Medium,3.9,1,3.0,Resolved,False,True
TKT-00099,16139,LOC_01,2010-03-15,Product Defect,High,5.1,1,3.0,Resolved,False,True
TKT-00100,16408,LOC_07,2011-09-27,Billing,High,12.0,1,,Open,False,False
TKT-00101,15681,LOC_03,2011-05-05,Billing,Low,10.9,1,1.0,Escalated,False,True
TKT-00102,15916,LOC_05,2011-07-24,Billing,Medium,9.1,1,1.0,Resolved,False,True
TKT-00103,14786,LOC_07,2011-10-26,Delivery,Medium,10.3,1,1.0,Resolved,False,True
TKT-00104,15035,LOC_06,2011-12-21,General Enquiry,Low,1.3,0,5.0,Resolved,False,True
TKT-00105,12625,LOC_03,2011-10-22,Account Access,Medium,2.9,1,,Resolved,False,False
TKT-00106,15511,LOC_07,2010-05-12,Delivery,Low,8.1,1,2.0,Resolved,False,True
TKT-00107,16472,LOC_08,2011-06-03,Account Access,Low,1.8,0,4.0,Open,False,True
TKT-00108,16633,LOC_05,2011-12-11,Account Access,Medium,1.7,0,4.0,Resolved,False,True
TKT-00109,16543,LOC_06,2011-02-27,Product Defect,Low,7.9,1,3.0,Open,False,True
TKT-00110,18121,LOC_07,2010-03-16,Product Defect,Low,12.5,1,1.0,Escalated,False,True
TKT-00111,14210,LOC_07,2011-12-13,Billing,Low,8.7,1,1.0,Resolved,False,True
TKT-00112,12750,LOC_03,2010-07-12,Delivery,Low,5.0,1,2.0,Resolved,False,True
TKT-00113,17481,LOC_08,2011-07-04,Delivery,Low,2.7,1,,Resolved,False,False
TKT-00114,16053,LOC_01,2011-06-09,Account Access,Medium,,1,,Escalated,True,False
TKT-00115,14727,LOC_08,2010-04-10,Refund,Low,5.4,1,3.0,Resolved,False,True
TKT-00116,15679,LOC_02,2010-10-24,Delivery,High,3.4,1,3.0,Resolved,False,True
