customer_id,segment,clv,acquisition_channel,region,acquisition_date
17976,Retail,,Referral,Netherlands,2009-04-21
16608,Wholesale,1016.96,Online,Other Europe,2009-11-16
14596,Corporate,14379.43,Online,France,2009-09-02
12499,Retail,819.53,Trade Show,UK,2009-06-22
16624,Retail,116.46,Direct Sales,UK,2009-05-28
15675,retail,,Referral,Germany,2009-08-05
14477,Retail,1139.95,Partner,Germany,2009-09-01
17361,Retail,602.64,Online,UK,2009-07-18
13631,Retail,50.47,Direct Sales,UK,2009-11-07
12867,corporate,8999.13,Direct Sales,France,2009-03-18
15666,corporate,14124.43,Trade Show,UK,2009-04-07
14727,corporate,10604.18,Referral,UK,2009-05-09
12991,Wholesale,4604.57,Online,UK,2009-12-23
12825,Retail,212.59,Referral,UK,2009-07-08
15145,Retail,519.22,Online,UK,2009-05-06
12385,Wholesale,1602.42,Direct Sales,UK,2009-03-26
12754,Retail,598.27,Partner,Germany,2009-05-04
12543,Retail,544.86,Trade Show,Germany,2009-06-27
12369,Corporate,,Referral,Germany,2009-02-01
13601,Retail,907.21,Online,UK,2009-06-17
14891,Retail,252.07,Online,Germany,2009-04-24
13751,Corporate,3165.21,Online,UK,2009-10-08
13721,Wholesale,809.86,Referral,Other Europe,2009-12-09
15163,RETAIL,928.16,Online,Germany,2009-08-12
16481,RETAIL,337.21,Online,EIRE,2009-10-19
13009,Retail,757.33,Online,Germany,2009-08-01
17439,Wholesale,3020.57,Online,Germany,2009-06-21
16609,Retail,1024.46,Referral,UK,2009-06-20
14960,Retail,417.6,Online,EIRE,2009-01-12
17573,Retail,894.01,Trade Show,France,2009-12-05
17116,Retail,1097.79,Online,France,2009-01-05
12832,Wholesale,4559.28,Referral,UK,2009-07-30
16792,Corporate,6961.01,Trade Show,Germany,2009-01-10
13296,Retail,116.97,Referral,,2009-08-27
14435,Retail,453.24,Referral,France,2009-01-31
14290,retail,769.5,Online,Other Europe,2009-06-16
16585,Retail,766.69,Partner,Netherlands,2009-11-26
13562,Retail,872.39,Partner,France,2009-01-26
16495,Retail,789.26,Online,Other Europe,2009-09-04
13233,Retail,298.44,Online,Other Europe,2009-01-14
17172,retail,609.1,Referral,Germany,2009-05-26
17377,Retail,675.83,Referral,UK,2009-06-09
15355,retail,856.31,Referral,UK,2009-09-09
16925,Retail,1199.09,Trade Show,Netherlands,2009-01-14
17061,Retail,,Referral,Germany,2009-09-27
16063,Retail,831.48,Online,Netherlands,2009-08-31
13033,Retail,1194.81,Online,UK,2009-09-19
13753,Corporate,12716.56,Trade Show,UK,2009-04-02
12539,Retail,928.04,Direct Sales,UK,2009-03-05
13485,Wholesale,4912.44,Referral,Netherlands,2009-11-27
14296,Retail,97.24,Direct Sales,UK,2009-10-28
