ticket_id,customer_id,location_id,ticket_date,issue_category,priority,resolution_days,sla_breached,csat_score,status
TKT-00001,13641,LOC_02,2011-07-12,Delivery Delay,Low,6.2,1.0,2,Resolved
TKT-00002,15780,LOC_03,2011-07-04,Refund Request,Low,8.2,1.0,3,Open
TKT-00003,15481,LOC_01,2011-05-16,Refund Request,Medium,3.7,1.0,4,Escalated
TKT-00004,17274,LOC_01,2011-02-14,General Enquiry,Medium,,,,Resolved
TKT-00005,14196,LOC_08,2010-06-07,refund,Critical,4.9,1.0,3,Resolved
TKT-00006,13164,LOC_03,2010-05-22,Refund Request,Low,12.1,1.0,1,Resolved
TKT-00007,17796,LOC_03,2010-07-23,refund,High,7.0,1.0,1,Escalated
TKT-00008,15252,LOC_02,2011-08-19,Late Delivery,High,2.4,1.0,2,Open
TKT-00009,13808,LOC_04,2011-01-10,General Enquiry,Medium,2.3,1.0,3,Resolved
TKT-00010,17023,LOC_05,2010-03-06,Billing Issue,High,5.9,1.0,3,Escalated
TKT-00011,17806,LOC_03,2010-03-06,Billing Issue,High,10.1,1.0,,Resolved
TKT-00012,12680,LOC_03,2011-09-09,Product Defect,High,9.1,1.0,1,Resolved
TKT-00013,13320,LOC_06,2011-01-23,Billing,Low,5.2,1.0,3,Resolved
TKT-00014,14588,LOC_08,2010-12-26,Refund Request,Low,3.6,1.0,3,Open
TKT-00015,16983,LOC_07,2011-07-10,Billing Issue,Medium,13.6,1.0,,Resolved
TKT-00016,18058,LOC_01,2011-05-07,Product Defect,Low,4.4,1.0,,Escalated
TKT-00017,16605,LOC_06,2010-05-07,Delivery Delay,Medium,3.3,1.0,2,Resolved
TKT-00018,15104,LOC_01,2011-06-09,Delivery Delay,Medium,4.4,1.0,2,Resolved
TKT-00019,16217,LOC_05,2011-06-26,Product Defect,Medium,4.3,1.0,,Resolved
TKT-00020,13650,LOC_04,2010-04-17,General Enquiry,Medium,,,,Open
TKT-00021,12739,LOC_04,2010-11-25,refund,Medium,5.2,1.0,,Resolved
TKT-00022,16911,LOC_05,2010-11-06,Billing,Low,4.1,1.0,4,Resolved
TKT-00023,13440,LOC_07,2010-01-14,Defective Product,Medium,7.4,1.0,2,Resolved
TKT-00024,15538,LOC_06,2010-09-21,General Enquiry,Medium,,,,Resolved
TKT-00025,17411,LOC_01,2011-12-27,Product Defect,Low,5.2,1.0,2,Resolved
TKT-00026,17556,LOC_07,2010-02-24,Product Defect,Low,10.5,1.0,,Resolved
TKT-00027,17826,LOC_07,2011-06-10,General Enquiry,Low,5.1,1.0,3,Resolved
TKT-00028,14055,LOC_01,2010-05-12,billing issue,Medium,,,,Open
TKT-00029,18230,LOC_03,2010-02-10,Account Access,Medium,5.9,1.0,2,Resolved
TKT-00030,13037,LOC_07,2010-07-21,Delivery Delay,Low,3.8,1.0,3,Resolved
TKT-00031,15438,LOC_04,2011-01-15,General Enquiry,Medium,2.2,1.0,3,Resolved
